Continent,References,Culture,Example of Riddle,PSF,Reconstruction,Solvable,Social Ritual
Africa,"Levine, D. N. (1965). Wax & gold: tradition and innovation in Ethiopian culture. University of Chicago Press. https://ehrafworldcultures.yale.edu/document?id=mp05-011",Amhara,NA,1,NA,NA,NA
,"Hollis Sir, A. C., & Eliot. (1905). The Masai: their language and folklore. The Clarendon Press. https://ehrafworldcultures.yale.edu/document?id=fl12-001",Maasai,"I have two skins, one to lie on and the other to cover myself with. What are they? The bare ground and the sky.
",1,1,NA,NA
,"Maxwell, Kevin B. (Kevin Burns). 1983. “Bemba Myth and Ritual: The Impact of Literacy on an Oral Culture.” In American University Studies, vol. 2:xxiii, 197. New York: P. Lang. https://ehrafworldcultures.yale.edu/document?id=fq05-011.",Bemba,A little basket which is never filled ?! The ear [the ear represents the memory in the Bemba culture] ,1,1,0,1
,"Yankah, K. (1989). The proverb in the context of Akan rhetoric: a theory of proverb praxis. In Sprichwörterforschung (p. 313). P. Lang. https://ehrafworldcultures.yale.edu/document?id=fe12-055",Akan,NA,1,NA,NA,1
,"Calame-Griaule, G. (1986). Words and the Dogon world. Institute for the Study of Human Issues. https://ehrafworldcultures.yale.edu/document?id=fa16-010",Dogon,NA,1,NA,NA,1
,"Peshkin, A. (1972). Kanuri schoolchildren; education and social mobilization in Nigeria. In Case studies in education and culture (pp. xviii, 156). Holt, Rinehart and Winston, Inc. https://ehrafworldcultures.yale.edu/document?id=ms14-007",Kanuri,NA,1,NA,NA,NA
,"Akiga, East, R., & Cultures, I. I. O. A. L. A. (1939). Akiga’s story: the Tiv tribe as seen by one of its members. Oxford University Press. https://ehrafworldcultures.yale.edu/document?id=ff57-001",Tiv,"The elephant fell on the rock, but they did not finish cutting up the meat. A: ‘Beniseed.’ If grains of beniseed fall on rock or soil, can you ever pick them all up?”",1,1,NA,1
,"Pagés, G., & Scholl, B. (1933). A Hamitic kingdom in the center of Africa: in Ruanda on the shores of Lake Kivu (Belgian Congo). In Mémoires: Vol. Vol. 1 (p. HRAF ms: v, 293 [original: iv, 704 , 29 plates]). Libraire Falk fils, Georges van Campenhout, Successeur. https://ehrafworldcultures.yale.edu/document?id=fo57-003",Rwandans,"Question: “What is the most improper thing, that causes the greatest embarrassment and constraint?” Answer: “A fly drowned in milk or sitting on the king's forehead.”",0,0,NA,NA
,"Raum, O. F. (1940). Chaga childhood: a description of indigenous education in an East African tribe. Oxford University Press for the International Institute of African Languages and Cultures. https://ehrafworldcultures.yale.edu/document?id=fn04-002",Chagga,NA,0,NA,0,1
,"Huffman, R., & Westermann, D. (1931). Nuer customs and folklore. International Institute of African Language and Culture. https://ehrafworldcultures.yale.edu/document?id=fj22-014",Nuer,NA,0,NA,1,1
,"Smith, Edwin William, and Dale, Andrew Murray, d. 1919. 1920. The Ila-Speaking Peoples of Northern Rhodesia: Vol. 2. London: MacMillan and Co. https://ehrafworldcultures.yale.edu/document?id=fq06-002.",Ila,Kafua ka Ntite kwina owatakasola.There is nobody who has not tasted the little bone of Ntite.Answer: Ndukolo—”the breast.”There is a play on the words ka Ntite (“of a little bird”) and Katiti (“the dugs”).,0,1,1,1
,"Schultze, L. S., Knight, E. C., & Ziolkowski, T. (1907). In Namaland and the Kalahari. Gustav Fischer. https://ehrafworldcultures.yale.edu/document?id=fx13-001",Khoi,"What do you see (mũ), although (xabe) it may (ga, potential) be dark (!kxaë), it may be far (!nū) and it may be near (/gū). (tsĩna, neut. pl. summarizing all the cases once again). — Fire",0,1,1,NA
,"Gelfand, M. (1979). Growing up in Shona society: from birth to marriage. Mambo Press. https://ehrafworldcultures.yale.edu/document?id=fs05-023",Shona,"This thing is invisible, it cannot be heard or smelt, it is behind the stars and below the mountains, in the valleys and kills people - The Wind",0,1,1,1
,"Junod, H. A. (1927). The life of a South African tribe: vol. 2. Macmillan and Co., Limited. https://ehrafworldcultures.yale.edu/document?id=ft06-002",Tsonga,What is the thing up the trunk of which one cannot climb? It is the juncus.,0,1,1,1
,"Callaway, H. (1868). Nursery tales, traditions, and histories of the Zulus, in their own words, with a translation into English, and notes. John A. Blair ; Davis and Sons ; Trübner and Co. https://ehrafworldcultures.yale.edu/document?id=fx20-013",Zulu,NA,0,NA,0,NA
,"Gay, John, and Michael Cole. 1967. The New Mathematics and an Old Culture: A Study of Learning among the Kpelle of Liberia. Holt, Rinehart and Winston. https://ehrafworldcultures.yale.edu/document?id=fd06-002.",Kpelle,"It is the story of a man with a leopard, a goat, and a bunch of cassava leaves, which he has to take across a river. Only two things can cross at the same time. How then is the man to get them across the river, without the leopard eating the goat while he is not watched, or the goat eating the cassava leaves?",0,0,NA,1
Asia,"Bogoraz-Tan, W., Vladimir Germanovich (Bogoras. (1910). Chukchee mythology: Chukchee texts [part 1], Chukchee tales [part 2]. In Memoirs: Vol. vol. XII (p. 197 [HRAF pagination – incomplete]). E. J. Brill, Ltd. ; G. E. Stechert and Co. https://ehrafworldcultures.yale.edu/document?id=ry02-002",Chuckchee,I have four holes and only one road. --A wooden house,1,1,1,NA
,"Sieroszewski, W. (1993). The Yakut: an experiment in ethnographic research. Assotsiatsiia “Rossiiskaia polit. entsiklopediia.” https://ehrafworldcultures.yale.edu/document?id=rv02-001",Yakut,They say there is a grey bull over the yurt -- the sun,1,1,NA,NA
,"Sangma, V. S. B. (1995). Garo folk literature. In hill societies, their modernisation : a study of north east with special reference to garo hills (pp. 156–164). Omsons Publications. https://ehrafworldcultures.yale.edu/document?id=ar05-033",Garo,It has only one head but hundreds of eyes.What is it?Ans. — A pineapple.,1,1,1,NA
,"Archer, W. G. (William George). 1974. The Hill of Flutes: Life, Love, and Poetry in Tribal India : A Portrait of the Santals. Pittsburgh: University of Pittsburgh Press. https://ehrafworldcultures.yale.edu/document?id=aw42-006.",Santal,NA,1,NA,NA,1
