Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
635552430fa79368564646ba,633ca231a0f680acc10ca356,AWAITING REVIEW,2022-10-23T14:40:07.518000Z,2022-10-23T14:48:50.926000Z,,2022-10-23T14:48:51.357867Z,524,5A34BA6B,25,47,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
635552c7534f0f942fc8f99f,6103391c3f6db1c809680920,AWAITING REVIEW,2022-10-23T14:42:18.072000Z,2022-10-23T14:48:03.457000Z,,2022-10-23T14:48:03.872251Z,346,5A34BA6B,268,26,Female,White,United States,United States,United States,Spanish,No,Full-Time
63555303b99914767516cf1b,5f690d3bf45f870ddaa5b17e,AWAITING REVIEW,2022-10-23T14:43:18.837000Z,2022-10-23T14:47:44.837000Z,,2022-10-23T14:47:45.200132Z,266,5A34BA6B,216,21,Female,White,United States,United States,United States,English,Yes,Part-Time
6355533336226e50ecf5d20d,5dab9bb23dd8f50015d256d5,AWAITING REVIEW,2022-10-23T14:44:11.119000Z,2022-10-23T15:07:09.190000Z,,2022-10-23T15:07:09.576878Z,1379,5A34BA6B,487,48,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6355541bf761d9201a5f7522,60fcf44ba1d6a5194feb0022,AWAITING REVIEW,2022-10-23T14:47:57.874000Z,2022-10-23T14:53:27.853000Z,,2022-10-23T14:53:28.226087Z,330,5A34BA6B,401,31,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6355551d5e3a826202bd9340,629f6ccc8d2f359d8cb0eb14,AWAITING REVIEW,2022-10-23T14:52:17.326000Z,2022-10-23T15:03:32.814000Z,,2022-10-23T15:03:33.196619Z,676,5A34BA6B,352,33,Male,White,United States,United States,United States,English,No,Full-Time
63555623ff07febfcdcd943d,5c4242e047e71a00015ca62b,AWAITING REVIEW,2022-10-23T14:56:38.668000Z,2022-10-23T15:02:01.522000Z,,2022-10-23T15:02:01.903807Z,323,5A34BA6B,920,28,Female,White,United States,United States,United States,English,No,Part-Time
6355562c6eae5ae73070f0dd,5bcce104fb569300011753dd,AWAITING REVIEW,2022-10-23T14:56:48.291000Z,2022-10-23T15:21:33.819000Z,,2022-10-23T15:21:34.226244Z,1486,5A34BA6B,1208,48,Male,White,United States,United States,United States,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6355563bcef8f56ff7912277,5db778f73b8d50000ccedbba,AWAITING REVIEW,2022-10-23T14:57:04.225000Z,2022-10-23T15:05:06.700000Z,,2022-10-23T15:05:07.125387Z,483,5A34BA6B,152,32,Female,Black,United States,United States,United States,English,Yes,Full-Time
635556e61b3289fbd2dfdb8d,5da956c25a994b001650f1e3,AWAITING REVIEW,2022-10-23T14:59:52.448000Z,2022-10-23T15:04:37.392000Z,,2022-10-23T15:04:37.784335Z,285,5A34BA6B,709,28,Female,White,Cuba,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED
6355571e6eae5ae73070f0f1,5fe64758bf7c8246fee7d3bc,AWAITING REVIEW,2022-10-23T15:00:54.621000Z,2022-10-23T15:10:36.971000Z,,2022-10-23T15:10:37.382625Z,583,5A34BA6B,981,69,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6355571ff942a5f6db16cf04,627426f35bbef15c65add1cd,AWAITING REVIEW,2022-10-23T15:00:50.839000Z,2022-10-23T15:03:59.421000Z,,2022-10-23T15:03:59.848756Z,189,5A34BA6B,854,31,Female,White,United States,United States,United States,English,No,Full-Time
63555794f77935a24006c024,5e11882114ae638303c715d9,AWAITING REVIEW,2022-10-23T15:02:47.812000Z,2022-10-23T15:05:43.818000Z,,2022-10-23T15:05:44.258302Z,177,5A34BA6B,2158,41,Male,White,Germany,United States,United States,English,No,DATA_EXPIRED
635557b41487181c67f45eec,5fd280d021083b01ec2c0176,AWAITING REVIEW,2022-10-23T15:03:52.998000Z,2022-10-23T15:07:39.920000Z,,2022-10-23T15:07:40.326221Z,227,5A34BA6B,309,34,Female,White,United States,United States,United States,English,No,Part-Time
635557c0b8c47aafc4fa8b80,581ca56392257b0001a72824,AWAITING REVIEW,2022-10-23T15:03:34.783000Z,2022-10-23T15:13:00.460000Z,,2022-10-23T15:13:00.921886Z,566,5A34BA6B,226,72,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
635557d5c89cdfb82784904e,627970e22164305d7787663c,AWAITING REVIEW,2022-10-23T15:03:52.963000Z,2022-10-23T15:10:40.537000Z,,2022-10-23T15:10:40.887907Z,408,5A34BA6B,805,51,Female,Asian,Taiwan,United States,United States,Chinese,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63555864be1f6b3f7497420c,5e0e66730db8925a55fffbd5,AWAITING REVIEW,2022-10-23T15:06:15.349000Z,2022-10-23T15:09:22.739000Z,,2022-10-23T15:09:23.090417Z,188,5A34BA6B,2029,24,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
63555891157772b8644aa282,5d478068ff3efc001a89d7de,AWAITING REVIEW,2022-10-23T15:07:02.745000Z,2022-10-23T15:12:32.429000Z,,2022-10-23T15:12:32.850037Z,330,5A34BA6B,1275,34,Female,White,United States,United States,United States,English,No,Full-Time
635558a44ee1ec76c397421d,56d1083921cd29000a97382d,AWAITING REVIEW,2022-10-23T15:07:18.855000Z,2022-10-23T15:11:02.005000Z,,2022-10-23T15:11:02.357385Z,224,5A34BA6B,1499,36,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
635558ade80edd5d3573c89c,5c510d1310223b00012fa23e,AWAITING REVIEW,2022-10-23T15:07:29.129000Z,2022-10-23T15:19:38.482000Z,,2022-10-23T15:19:38.841371Z,730,5A34BA6B,665,20,Male,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
635558bc299bc4425ac9abfc,61428787063ad54362ce241e,AWAITING REVIEW,2022-10-23T15:07:44.830000Z,2022-10-23T15:20:11.130000Z,,2022-10-23T15:20:11.516143Z,747,5A34BA6B,127,27,Male,Mixed,United States,United States,United States,English,No,Full-Time
635558d142f51edf78912219,614010e2fe2c7bba5f7550d5,AWAITING REVIEW,2022-10-23T15:08:04.537000Z,2022-10-23T15:11:46.480000Z,,2022-10-23T15:11:46.974449Z,222,5A34BA6B,404,27,Male,Asian,Philippines,United States,United States,English,No,Unemployed (and job seeking)
