StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1_consent,Q2.1,Q2.2,Q3.1_attention,Q4.2_understanding,11_Q5.1_First Click,11_Q5.1_Last Click,11_Q5.1_Page Submit,11_Q5.1_Click Count,11_answer,11_solved,11_insight,11_sharing,12_Q5.1_First Click,12_Q5.1_Last Click,12_Q5.1_Page Submit,12_Q5.1_Click Count,12_answer,12_solved,12_insight,12_sharing,15_Q5.1_First Click,15_Q5.1_Last Click,15_Q5.1_Page Submit,15_Q5.1_Click Count,15_answer,15_solved,15_insight,15_sharing,14_time_First Click,14_time_Last Click,14_time_Page Submit,14_time_Click Count,14_answer,14_solved,14_insight,14_sharing,16_time_First Click,16_time_Last Click,16_time_Page Submit,16_time_Click Count,16_answer,16_solved,16_insight,16_sharing,40_time_First Click,40_time_Last Click,40_time_Page Submit,40_time_Click Count,40_answer,40_solved,40_insight,40_sharing,implicit_motivation,answer_supp,solved_supp,Q8.1,PROLIFIC_PID,Q_TotalDuration,condition,FL_5_DO_FL_27,FL_5_DO_FL_30
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:  You will be asked to try to solve a few brain teasers.  The survey will take about 5 minutes to complete.  There are no risks involved in this study.  You will be paid for your participation at the posted rate (provided that you complete the whole study).  Your individual privacy will be maintained in all published and written data resulting from the study.   Participation in this research study is voluntary. You may choose not to participate.  By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.",Riddles,Riddles,"Imagine you are playing video games with a friend and at some point your friend says:     “I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”      Do you agree with your friend?","Do you understand this feeling of ""Aha!"" ?","Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he  broke no law. How is that possible? - Timing - First Click","Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he  broke no law. How is that possible? - Timing - Last Click","Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he  broke no law. How is that possible? - Timing - Page Submit","Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he  broke no law. How is that possible? - Timing - Click Count","A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he  broke no law. How is that possible? - Please write your answer below, even if you are not certain. If you do not find an answer,  “I do not know.” Once you’ve written your answer, you can click on the arrow to see the answer.","A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he  broke no law. How is that possible? - Having seen the answer, which of these applies:","A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he  broke no law. How is that possible? - To what extent did you experience a feeling of “Aha!”, as explained earlier, when you either found, or were given the correct answer?","A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he  broke no law. How is that possible? - How likely would you be to share this brain teaser with other people ?","Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Timing - First Click","Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Timing - Last Click","Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Timing - Page Submit","Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Timing - Click Count","Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Please write your answer below, even if you are not certain. If you do not find an answer,  “I do not know.” Once you’ve written your answer, you can click on the arrow to see the answer.","Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Having seen the answer, which of these applies:","Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - To what extent did you experience a feeling of “Aha!”, as explained earlier, when you either found, or were given the correct answer?","Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - How likely would you be to share this brain teaser with other people ?","Timing - While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a  flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Timing - First Click","Timing - While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a  flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Timing - Last Click","Timing - While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a  flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Timing - Page Submit","Timing - While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a  flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Timing - Click Count","While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a  flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Please write your answer below, even if you are not certain. If you do not find an answer,  “I do not know.” Once you’ve written your answer, you can click on the arrow to see the answer.","While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a  flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Having seen the answer, which of these applies:","While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a  flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - To what extent did you experience a feeling of “Aha!”, as explained earlier, when you either found, or were given the correct answer?","While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a  flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - How likely would you be to share this brain teaser with other people ?","Timing - Three cards from an ordinary deck are lying on a table, face down. The following information is known about those three cards:<br /> 1. To the left of a queen there is a jack<br /> 2. To the left of a spade there is a diamond<br /> 3. To the right of a heart there is a king<br /> 4. To the right of a king there is a spade<br /> Can you assign the proper suit to each picture card? - Timing - First Click","Timing - Three cards from an ordinary deck are lying on a table, face down. The following information is known about those three cards:<br /> 1. To the left of a queen there is a jack<br /> 2. To the left of a spade there is a diamond<br /> 3. To the right of a heart there is a king<br /> 4. To the right of a king there is a spade<br /> Can you assign the proper suit to each picture card? - Timing - Last Click","Timing - Three cards from an ordinary deck are lying on a table, face down. The following information is known about those three cards:<br /> 1. To the left of a queen there is a jack<br /> 2. To the left of a spade there is a diamond<br /> 3. To the right of a heart there is a king<br /> 4. To the right of a king there is a spade<br /> Can you assign the proper suit to each picture card? - Timing - Page Submit","Timing - Three cards from an ordinary deck are lying on a table, face down. The following information is known about those three cards:<br /> 1. To the left of a queen there is a jack<br /> 2. To the left of a spade there is a diamond<br /> 3. To the right of a heart there is a king<br /> 4. To the right of a king there is a spade<br /> Can you assign the proper suit to each picture card? - Timing - Click Count","Three cards from an ordinary deck are lying on a table, face down. The following information is known about those three cards:<br /> 1. To the left of a queen there is a jack<br /> 2. To the left of a spade there is a diamond<br /> 3. To the right of a heart there is a king<br /> 4. To the right of a king there is a spade<br /> Can you assign the proper suit to each picture card? - Please write your answer below, even if you are not certain. If you do not find an answer, write “I do not know.”  Once you’ve written your answer, you can click on the arrow to see the correct answer.","Three cards from an ordinary deck are lying on a table, face down. The following information is known about those three cards:<br /> 1. To the left of a queen there is a jack<br /> 2. To the left of a spade there is a diamond<br /> 3. To the right of a heart there is a king<br /> 4. To the right of a king there is a spade<br /> Can you assign the proper suit to each picture card? - Having seen the answer, which of these applies:","Three cards from an ordinary deck are lying on a table, face down. The following information is known about those three cards:<br /> 1. To the left of a queen there is a jack<br /> 2. To the left of a spade there is a diamond<br /> 3. To the right of a heart there is a king<br /> 4. To the right of a king there is a spade<br /> Can you assign the proper suit to each picture card? - To what extent did you experience a feeling of “Aha!”, as explained earlier, when you either found, or were given the correct answer?","Three cards from an ordinary deck are lying on a table, face down. The following information is known about those three cards:<br /> 1. To the left of a queen there is a jack<br /> 2. To the left of a spade there is a diamond<br /> 3. To the right of a heart there is a king<br /> 4. To the right of a king there is a spade<br /> Can you assign the proper suit to each picture card? - How likely would you be to share this brain teaser with other people ?",Timing - In a (knock-out) tennis tournament there are 32 players. How many matches are there in the tournament? - Timing - First Click,Timing - In a (knock-out) tennis tournament there are 32 players. How many matches are there in the tournament? - Timing - Last Click,Timing - In a (knock-out) tennis tournament there are 32 players. How many matches are there in the tournament? - Timing - Page Submit,Timing - In a (knock-out) tennis tournament there are 32 players. How many matches are there in the tournament? - Timing - Click Count,"In a (knock-out) tennis tournament there are 32 players. How many matches are there in the tournament? - Please write your answer below, even if you are not certain. If you do not find an answer, write “I do not know.”  Once you’ve written your answer, you can click on the arrow to see the correct answer.","In a (knock-out) tennis tournament there are 32 players. How many matches are there in the tournament? - Having seen the answer, which of these applies:","In a (knock-out) tennis tournament there are 32 players. How many matches are there in the tournament? - To what extent did you experience a feeling of “Aha!”, as explained earlier, when you either found, or were given the correct answer?",In a (knock-out) tennis tournament there are 32 players. How many matches are there in the tournament? - How likely would you be to share this brain teaser with other people ?,"Timing - You have a source of unlimited water and four containers of different capacities (99L, 14L, 25L and 11L). How can you obtain exactly 86L of water ?<br /> <br /> (L is the symbol for the Liter, a metric unit of volume equal to 0.26 gallons.) - Timing - First Click","Timing - You have a source of unlimited water and four containers of different capacities (99L, 14L, 25L and 11L). How can you obtain exactly 86L of water ?<br /> <br /> (L is the symbol for the Liter, a metric unit of volume equal to 0.26 gallons.) - Timing - Last Click","Timing - You have a source of unlimited water and four containers of different capacities (99L, 14L, 25L and 11L). How can you obtain exactly 86L of water ?<br /> <br /> (L is the symbol for the Liter, a metric unit of volume equal to 0.26 gallons.) - Timing - Page Submit","Timing - You have a source of unlimited water and four containers of different capacities (99L, 14L, 25L and 11L). How can you obtain exactly 86L of water ?<br /> <br /> (L is the symbol for the Liter, a metric unit of volume equal to 0.26 gallons.) - Timing - Click Count","You have a source of unlimited water and four containers of different capacities (99L, 14L, 25L and 11L). How can you obtain exactly 86L of water ?<br /> <br /> (L is the symbol for the Liter, a metric unit of volume equal to 0.26 gallons.) - Please write your answer below, even if you are not certain. If you do not find an answer, write “I do not know.”  Once you’ve written your answer, you can click on the arrow to see the correct answer.","You have a source of unlimited water and four containers of different capacities (99L, 14L, 25L and 11L). How can you obtain exactly 86L of water ?<br /> <br /> (L is the symbol for the Liter, a metric unit of volume equal to 0.26 gallons.) - Having seen the answer, which of these applies:","You have a source of unlimited water and four containers of different capacities (99L, 14L, 25L and 11L). How can you obtain exactly 86L of water ?<br /> <br /> (L is the symbol for the Liter, a metric unit of volume equal to 0.26 gallons.) - To what extent did you experience a feeling of “Aha!”, as explained earlier, when you either found, or were given the correct answer?","You have a source of unlimited water and four containers of different capacities (99L, 14L, 25L and 11L). How can you obtain exactly 86L of water ?<br /> <br /> (L is the symbol for the Liter, a metric unit of volume equal to 0.26 gallons.) - How likely would you be to share this brain teaser with other people ?",Do you want to see another brain teaser?,"Please write your answer below, even if you are not certain. If you do not find an answer, write “I do not know.”  Once you’ve written your answer, you can click on the arrow to see the correct answer.","Having seen the answer, which of these applies:","Do you have any further comments for us?   If you have experienced any problems during the survey, please let us know.",PROLIFIC_PID,Q_TotalDuration,condition,FL_5 - Block Randomizer - Display Order - FL_27,FL_5 - Block Randomizer - Display Order - FL_30
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID43""}","{""ImportId"":""QID65""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID73""}","{""ImportId"":""11_QID84_FIRST_CLICK""}","{""ImportId"":""11_QID84_LAST_CLICK""}","{""ImportId"":""11_QID84_PAGE_SUBMIT""}","{""ImportId"":""11_QID84_CLICK_COUNT""}","{""ImportId"":""11_QID55_TEXT""}","{""ImportId"":""11_QID58""}","{""ImportId"":""11_QID61""}","{""ImportId"":""11_QID62""}","{""ImportId"":""12_QID84_FIRST_CLICK""}","{""ImportId"":""12_QID84_LAST_CLICK""}","{""ImportId"":""12_QID84_PAGE_SUBMIT""}","{""ImportId"":""12_QID84_CLICK_COUNT""}","{""ImportId"":""12_QID55_TEXT""}","{""ImportId"":""12_QID58""}","{""ImportId"":""12_QID61""}","{""ImportId"":""12_QID62""}","{""ImportId"":""15_QID84_FIRST_CLICK""}","{""ImportId"":""15_QID84_LAST_CLICK""}","{""ImportId"":""15_QID84_PAGE_SUBMIT""}","{""ImportId"":""15_QID84_CLICK_COUNT""}","{""ImportId"":""15_QID55_TEXT""}","{""ImportId"":""15_QID58""}","{""ImportId"":""15_QID61""}","{""ImportId"":""15_QID62""}","{""ImportId"":""14_QID85_FIRST_CLICK""}","{""ImportId"":""14_QID85_LAST_CLICK""}","{""ImportId"":""14_QID85_PAGE_SUBMIT""}","{""ImportId"":""14_QID85_CLICK_COUNT""}","{""ImportId"":""14_QID75_TEXT""}","{""ImportId"":""14_QID77""}","{""ImportId"":""14_QID78""}","{""ImportId"":""14_QID79""}","{""ImportId"":""16_QID85_FIRST_CLICK""}","{""ImportId"":""16_QID85_LAST_CLICK""}","{""ImportId"":""16_QID85_PAGE_SUBMIT""}","{""ImportId"":""16_QID85_CLICK_COUNT""}","{""ImportId"":""16_QID75_TEXT""}","{""ImportId"":""16_QID77""}","{""ImportId"":""16_QID78""}","{""ImportId"":""16_QID79""}","{""ImportId"":""40_QID85_FIRST_CLICK""}","{""ImportId"":""40_QID85_LAST_CLICK""}","{""ImportId"":""40_QID85_PAGE_SUBMIT""}","{""ImportId"":""40_QID85_CLICK_COUNT""}","{""ImportId"":""40_QID75_TEXT""}","{""ImportId"":""40_QID77""}","{""ImportId"":""40_QID78""}","{""ImportId"":""40_QID79""}","{""ImportId"":""QID83""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""QID89""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""condition""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_27""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_30""}"
2022-04-27 16:31:34,2022-04-27 16:36:49,0,75.137.239.193,100,314,1,2022-04-27 16:36:49,R_3IcmonOndPa7Nux,,,,,32.3151,-86.2449,anonymous,EN,1,,,I pay attention,1,14.697,14.697,66.406,1,he is the marriage officiant,1,6,7,28.358,28.358,47.752,1,I do not know,2,7,7,25.667,25.667,32.3,1,the sun was out,1,6,7,,,,,,,,,,,,,,,,,,,,,,,,,1,I do not know,2,,5e29202a95734f0e3ce19602,314,1,1,
2022-04-27 16:35:44,2022-04-27 16:44:02,0,107.77.201.34,100,498,1,2022-04-27 16:44:02,R_1r1uPInx8dTpDbY,,,,,32.7797,-96.8022,anonymous,EN,1,,,"I pay attention ",1,,,,,,,,,,,,,,,,,,,,,,,,,49.875,101.982,125.201,4,"Jack heart, queen spade, king diamond ",1,5,3,36.839,36.839,38.824,1,31,1,2,7,73.104,119.777,125.463,2,"I do not know ",2,4,1,1,Chicken celery lettuce,1,,61079a59dc92d8a2d47adc3f,498,0,,1
2022-04-27 16:37:32,2022-04-27 16:44:50,0,47.183.195.158,100,437,1,2022-04-27 16:44:50,R_3lty0H6x0TVzrQU,,,,,32.9657,-96.8825,anonymous,EN,1,,,I pay attention,1,,,,,,,,,,,,,,,,,,,,,,,,,31.236,170.44,179.684,2,"King of diamonds, queen of spades, jack of hearts",1,4,4,23.781,23.781,29.224,1,16,2,4,5,89.185,89.185,138.299,1,"I would fill up the 25L twice and pour it into the 99 L, creating 50L. Then, I would fill up the 25L again as well as the 11L, creating 36L. 36+50 = 86, so together those 3 containers would fit the exact amount.",1,4,4,2,,,,595d77593bc7aa0001037162,437,0,,1
2022-04-27 16:43:23,2022-04-27 16:45:30,0,72.66.108.96,100,126,1,2022-04-27 16:45:30,R_2S3wflZoWCsscnY,,,,,38.9965,-76.934,anonymous,EN,1,,,I pay attention,1,8.906,8.906,14.779,1,I do not know,2,7,7,6.584,6.584,12.326,1,I do not know,2,4,4,12.104,12.104,18.552,1,with her eyes,2,7,6,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5e22fce6db62ba5aec3e53b1,126,1,1,
2022-04-27 16:47:11,2022-04-27 16:52:58,0,74.80.41.194,100,346,1,2022-04-27 16:52:58,R_2EGXaNeFhU8xQLj,,,,,30.236,-92.0075,anonymous,EN,1,,,I pay attention,1,10.888,10.888,25.936,1,He's the minister/pastor...he performs the ceremony.,1,1,7,31.127,31.127,84.279,1,She hit it straight up in the air and gravity brought it back down.,1,5,7,19.109,19.109,28.64,1,Her clutch was white and the road was black.,2,6,7,,,,,,,,,,,,,,,,,,,,,,,,,1,He handed him five ones.,1,,5d2c030eb3efb1001b7e4989,346,1,1,
2022-04-27 16:53:47,2022-04-27 16:56:47,0,172.58.207.55,100,179,1,2022-04-27 16:56:47,R_AvoseRD91YqEEpP,,,,,39.9612,-75.2303,anonymous,EN,1,,,"I pay attention ",1,7.679,7.679,12.319,1,He is a Preacher,1,3,5,20.242,20.242,32.109,1,She hit the ball straight up in the air,1,5,5,42.918,42.918,46.189,1,It was daytime,1,6,5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,60feea86c2cd1da8825671bc,179,1,1,
2022-04-27 16:47:38,2022-04-27 16:57:54,0,47.37.246.164,100,615,1,2022-04-27 16:57:55,R_3Lj4I0xkmhDWqng,,,,,34.9183,-82.1246,anonymous,EN,1,,,I pay attention,1,,,,,,,,,,,,,,,,,,,,,,,,,4.911,84.37,86.944,2,"King of Diamonds, Jack of Hearts, Queen of Spades",1,6,7,4.897,79.594,84.118,3,i don't know,2,3,2,32.186,95.718,102.305,4,i dont know,3,1,1,1,"celery, lettuce, and roast chicken",1,,612fdaecc1abdf34d995ae90,615,0,,1
2022-04-27 17:03:51,2022-04-27 17:09:49,0,67.170.188.53,100,358,1,2022-04-27 17:09:50,R_Z1s6Rriny6KhKhj,,,,,45.6652,-122.5215,anonymous,EN,1,,,I pay attention,1,38.993,38.993,70.161,1,The man is an officiant and performed the marriages.,1,5,4,29.82,64.56,67.285,2,She would run ahead of the ball while it was still in the air,2,2,2,56.743,56.743,62.449,1,It was daytime,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,60ff2fc96585bd1f07882104,358,1,1,
