StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q1.1_consent;Condition 1 (High)Â ;Condition 2 (Low);Q3.1_attention;Q4.2_understanding;1_time_First Click;1_time_Last Click;1_time_Page Submit;1_time_Click Count;1_answer;1_solved;1_insight;1_sharing;2_time_First Click;2_time_Last Click;2_time_Page Submit;2_time_Click Count;2_answer;2_solved;2_insight;2_sharing;3_time_First Click;3_time_Last Click;3_time_Page Submit;3_time_Click Count;3_answer;3_solved;3_insight;3_sharing;4_time_First Click;4_time_Last Click;4_time_Page Submit;4_time_Click Count;4_answer;4_solved;4_insight;4_sharing;5_time_First Click;5_time_Last Click;5_time_Page Submit;5_time_Click Count;5_answer;5_solved;5_insight;5_sharing;6_time_First Click;6_time_Last Click;6_time_Page Submit;6_time_Click Count;6_answer;6_solved;6_insight;6_sharing;implicit_motivation;time_First Click;time_Last Click;time_Page Submit;time_Click Count;answer_supp;solved_supp;Q8.1;PROLIFIC_PID;Q_TotalDuration;condition;FL_5_DO_FL_27;FL_5_DO_FL_30;
Start Date;End Date;Response Type;IP Address;Progress;Duration (in seconds);Finished;Recorded Date;Response ID;Recipient Last Name;Recipient First Name;Recipient Email;External Data Reference;Location Latitude;Location Longitude;Distribution Channel;User Language;We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:  You will be asked to try to solve a few brain teasers.  The survey will take about 5 minutes to complete.  There are no risks involved in this study.  You will be paid for your participation at the posted rate (provided that you complete the whole study).  Your individual privacy will be maintained in all published and written data resulting from the study.   Participation in this research study is voluntary. You may choose not to participate.  By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.;High Insight Problems;Modified Insight Problems;"Imagine you are playing video games with a friend and at some point your friend says:     â€œI donâ€™t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.â€      Do you agree with your friend?";"Do you understand this feeling of ""Aha!"" ?";Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - Timing - First Click;Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - Timing - Last Click;Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - Timing - Page Submit;Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - Timing - Click Count;A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - Please write your answer below, even if you are not certain. If you do not find an answer,  â€œI do not know.â€ Once youâ€™ve written your answer, you can click on the arrow to see the answer.;A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - Having seen the answer, which of these applies:;A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - To what extent did you experience a feeling of â€œAha!â€, as explained earlier, when you either found, or were given the correct answer?;A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - How likely would you be to share this brain teaser with other people ?;Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her â€“ without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Timing - First Click;Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her â€“ without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Timing - Last Click;Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her â€“ without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Timing - Page Submit;Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her â€“ without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Timing - Click Count;Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her â€“ without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Please write your answer below, even if you are not certain. If you do not find an answer,  â€œI do not know.â€ Once youâ€™ve written your answer, you can click on the arrow to see the answer.;Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her â€“ without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Having seen the answer, which of these applies:;Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her â€“ without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - To what extent did you experience a feeling of â€œAha!â€, as explained earlier, when you either found, or were given the correct answer?;Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her â€“ without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - How likely would you be to share this brain teaser with other people ?;Timing - While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Timing - First Click;Timing - While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Timing - Last Click;Timing - While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Timing - Page Submit;Timing - While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Timing - Click Count;While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Please write your answer below, even if you are not certain. If you do not find an answer,  â€œI do not know.â€ Once youâ€™ve written your answer, you can click on the arrow to see the answer.;While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Having seen the answer, which of these applies:;While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - To what extent did you experience a feeling of â€œAha!â€, as explained earlier, when you either found, or were given the correct answer?;While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - How likely would you be to share this brain teaser with other people ?;Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - Timing - First Click;Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - Timing - Last Click;Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - Timing - Page Submit;Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - Timing - Click Count;A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - Please write your answer below, even if you are not certain. If you do not find an answer, write â€œI do not know.â€  Once youâ€™ve written your answer, you can click on the arrow to see the correct answer.;A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - Having seen the answer, which of these applies:;A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - To what extent did you experience a feeling of â€œAha!â€, as explained earlier, when you either found, or were given the correct answer?;A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - How likely would you be to share this brain teaser with other people ?;Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - Timing - First Click;Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - Timing - Last Click;Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - Timing - Page Submit;Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - Timing - Click Count;Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - Please write your answer below, even if you are not certain. If you do not find an answer, write â€œI do not know.â€  Once youâ€™ve written your answer, you can click on the arrow to see the correct answer.;Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - Having seen the answer, which of these applies:;Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - To what extent did you experience a feeling of â€œAha!â€, as explained earlier, when you either found, or were given the correct answer?;Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - How likely would you be to share this brain teaser with other people ?;Timing - While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - Timing - First Click;Timing - While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - Timing - Last Click;Timing - While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - Timing - Page Submit;Timing - While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - Timing - Click Count;While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - Please write your answer below, even if you are not certain. If you do not find an answer, write â€œI do not know.â€  Once youâ€™ve written your answer, you can click on the arrow to see the correct answer.;While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - Having seen the answer, which of these applies:;While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - To what extent did you experience a feeling of â€œAha!â€, as explained earlier, when you either found, or were given the correct answer?;While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - How likely would you be to share this brain teaser with other people ?;Do you want to see another brain teaser?;Timing - First Click;Timing - Last Click;Timing - Page Submit;Timing - Click Count;Please write your answer below, even if you are not certain. If you do not find an answer, write â€œI do not know.â€  Once youâ€™ve written your answer, you can click on the arrow to see the correct answer.;Having seen the answer, which of these applies:;Do you have any further comments for us?   If you have experienced any problems during the survey, please let us know.;PROLIFIC_PID;Q_TotalDuration;condition;FL_5 - Block Randomizer - Display Order - FL_27;FL_5 - Block Randomizer - Display Order - FL_30;
"{""ImportId"":""startDate""";"timeZone:""Europe/Berlin""}";"{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}";"{""ImportId"":""status""}";"{""ImportId"":""ipAddress""}";"{""ImportId"":""progress""}";"{""ImportId"":""duration""}";"{""ImportId"":""finished""}";"{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}";"{""ImportId"":""_recordId""}";"{""ImportId"":""recipientLastName""}";"{""ImportId"":""recipientFirstName""}";"{""ImportId"":""recipientEmail""}";"{""ImportId"":""externalDataReference""}";"{""ImportId"":""locationLatitude""}";"{""ImportId"":""locationLongitude""}";"{""ImportId"":""distributionChannel""}";"{""ImportId"":""userLanguage""}";"{""ImportId"":""QID7""}";"{""ImportId"":""QID92""}";"{""ImportId"":""QID93""}";"{""ImportId"":""QID9_TEXT""}";"{""ImportId"":""QID73""}";"{""ImportId"":""1_QID84_FIRST_CLICK""}";"{""ImportId"":""1_QID84_LAST_CLICK""}";"{""ImportId"":""1_QID84_PAGE_SUBMIT""}";"{""ImportId"":""1_QID84_CLICK_COUNT""}";"{""ImportId"":""1_QID55_TEXT""}";"{""ImportId"":""1_QID58""}";"{""ImportId"":""1_QID61""}";"{""ImportId"":""1_QID62""}";"{""ImportId"":""2_QID84_FIRST_CLICK""}";"{""ImportId"":""2_QID84_LAST_CLICK""}";"{""ImportId"":""2_QID84_PAGE_SUBMIT""}";"{""ImportId"":""2_QID84_CLICK_COUNT""}";"{""ImportId"":""2_QID55_TEXT""}";"{""ImportId"":""2_QID58""}";"{""ImportId"":""2_QID61""}";"{""ImportId"":""2_QID62""}";"{""ImportId"":""3_QID84_FIRST_CLICK""}";"{""ImportId"":""3_QID84_LAST_CLICK""}";"{""ImportId"":""3_QID84_PAGE_SUBMIT""}";"{""ImportId"":""3_QID84_CLICK_COUNT""}";"{""ImportId"":""3_QID55_TEXT""}";"{""ImportId"":""3_QID58""}";"{""ImportId"":""3_QID61""}";"{""ImportId"":""3_QID62""}";"{""ImportId"":""4_QID85_FIRST_CLICK""}";"{""ImportId"":""4_QID85_LAST_CLICK""}";"{""ImportId"":""4_QID85_PAGE_SUBMIT""}";"{""ImportId"":""4_QID85_CLICK_COUNT""}";"{""ImportId"":""4_QID75_TEXT""}";"{""ImportId"":""4_QID77""}";"{""ImportId"":""4_QID78""}";"{""ImportId"":""4_QID79""}";"{""ImportId"":""5_QID85_FIRST_CLICK""}";"{""ImportId"":""5_QID85_LAST_CLICK""}";"{""ImportId"":""5_QID85_PAGE_SUBMIT""}";"{""ImportId"":""5_QID85_CLICK_COUNT""}";"{""ImportId"":""5_QID75_TEXT""}";"{""ImportId"":""5_QID77""}";"{""ImportId"":""5_QID78""}";"{""ImportId"":""5_QID79""}";"{""ImportId"":""6_QID85_FIRST_CLICK""}";"{""ImportId"":""6_QID85_LAST_CLICK""}";"{""ImportId"":""6_QID85_PAGE_SUBMIT""}";"{""ImportId"":""6_QID85_CLICK_COUNT""}";"{""ImportId"":""6_QID75_TEXT""}";"{""ImportId"":""6_QID77""}";"{""ImportId"":""6_QID78""}";"{""ImportId"":""6_QID79""}";"{""ImportId"":""QID83""}";"{""ImportId"":""QID95_FIRST_CLICK""}";"{""ImportId"":""QID95_LAST_CLICK""}";"{""ImportId"":""QID95_PAGE_SUBMIT""}";"{""ImportId"":""QID95_CLICK_COUNT""}";"{""ImportId"":""QID87_TEXT""}";"{""ImportId"":""QID89""}";"{""ImportId"":""QID26_TEXT""}";"{""ImportId"":""PROLIFIC_PID""}";"{""ImportId"":""Q_TotalDuration""}";"{""ImportId"":""condition""}";"{""ImportId"":""FL_5_DO"",""choiceId"":""FL_27""}";"{""ImportId"":""FL_5_DO"",""choiceId"":""FL_30""}"
06/05/2022 17:05;06/05/2022 17:10;0;107.77.209.59;100;300;1;06/05/2022 17:10;R_DuX79aBK0Lrs3Hr;;;;;41.8764;-87.6133;anonymous;EN;1;;;I pay attention;1;40.164;40.164;42.948;1;I donâ€™t know;3;1;1;51.064;51.064;53.933;1;I donâ€™t know ;2;4;1;56.089;56.089;76.523;1;It fell on one of the newly painted parts of the road ;2;4;7;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;5c16087a1f6f15000149a167;300;1;1;;
06/05/2022 17:20;06/05/2022 17:24;0;172.58.102.240;100;235;1;06/05/2022 17:24;R_3dQiy3iGI4tXbDS;;;;;29.6968;-95.5446;anonymous;EN;1;;;I pay attention;1;;;;;;;;;;;;;;;;;;;;;;;;;9.79;9.79;24.14;1;He's ordained to perform marriages;1;4;1;24.535;29.642;39.8;2;It hit a wall or net to change direction;1;1;1;19.588;19.588;38.271;1;It has some sort of buckle on it;2;1;1;2;;;;;;;;5fcc2e44e2e6dea750d42429;235;0;;1;
06/05/2022 17:21;06/05/2022 17:27;0;184.91.68.95;100;346;1;06/05/2022 17:27;R_pgQL0nURUZqSuGd;;;;;28.5978;-81.3024;anonymous;EN;1;;;I pay attention;1;35.443;35.443;40.542;1;Polygamy is legal;2;4;7;31.196;48.225;51.466;2;She hit the ball straight upward and gravity sent it back.;1;6;7;58.731;69.166;72.464;2;I do not know.;2;1;7;;;;;;;;;;;;;;;;;;;;;;;;;1;42.298;49.389;49.432;2;They donâ€™t sell single rides;2;;62713c75f2e146e8c66815a3;346;1;1;;
06/05/2022 17:25;06/05/2022 17:28;0;172.4.242.164;100;162;1;06/05/2022 17:28;R_2uzSFVbJ2c94wp3;;;;;36.1579;-86.8608;anonymous;EN;1;;;I pay attention;1;;;;;;;;;;;;;;;;;;;;;;;;;5.816;5.816;26.842;1;There is no divorce court.;2;4;4;10.015;10.015;20.641;1;She hit it against a wall.;1;5;4;1.265;1.265;29.029;1;I do not know.;2;3;4;2;;;;;;;;5d40da980af3a7001a3ee980;162;0;;1;
06/05/2022 17:27;06/05/2022 17:31;0;24.11.254.214;100;252;1;06/05/2022 17:31;R_rkCzgzxWMouINSF;;;;;36.1988;-86.7881;anonymous;EN;1;;;I pay attention;1;;;;;;;;;;;;;;;;;;;;;;;;;20.098;20.098;64.956;1;maybe he's a polygamist;1;5;4;27.041;27.041;31.564;1;i don not know;2;4;4;19.395;19.395;27.464;1;maybe she tripped over something;3;3;3;2;;;;;;;;5cb6a24c7a92c500015c14ce;252;0;;1;
06/05/2022 17:26;06/05/2022 17:33;0;73.24.133.182;100;399;1;06/05/2022 17:33;R_2yeAOGT6Ofr7kPL;;;;;32.413;-110.942;anonymous;EN;1;;;I pay attention;1;18.681;18.681;49.806;1;He was a minister who conducted the 20 weddings;1;4;5;25.581;25.581;90.715;1;There was a strong wind blowing in the opposite direction of the ball's initial trajectory.;2;6;6;37.945;37.945;45;1;It was daytime;1;5;6;;;;;;;;;;;;;;;;;;;;;;;;;1;35.844;35.844;47.83;1;The five dollars was all in singles.;1;;5c01dc58067bbf00019bb318;399;1;1;;
06/05/2022 17:31;06/05/2022 17:35;0;68.48.108.126;100;224;1;06/05/2022 17:35;R_1K3l5XS1oo0OKzh;;;;;42.7606;-84.5563;anonymous;EN;1;;;I pay attention;1;7.338;7.873;17.855;2;He is a wedding officiant;1;6;4;31.759;41.902;42.477;2;Hit the ball straight up;1;4;2;15.088;15.088;22.523;1;It was daytime;1;5;3;;;;;;;;;;;;;;;;;;;;;;;;;1;24.153;24.153;32.343;1;He handed 5 singles;1;;605a24ab965147011d9d2e94;224;1;1;;
06/05/2022 17:31;06/05/2022 17:35;0;97.106.14.33;100;230;1;06/05/2022 17:35;R_1rxMmYja0qJD7RP;;;;;28.1951;-81.6062;anonymous;EN;1;;;I pay attention ;1;;;;;;;;;;;;;;;;;;;;;;;;;12.826;12.826;16.773;1;Mormons ;1;3;2;29.748;29.748;56.489;1;Iâ€™m sure thereâ€™s a scientific or simple answer but all I can think is heavy wind;1;3;1;16.446;17.512;22.588;2;Bright moonlight ;1;4;2;1;18.375;18.375;28.264;1;He has four kids with him. ;1;;5e48122927eb23000af799c7;230;0;;1;
