StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1_consent,Condition 1 (High) ,Condition 2 (Low),Q3.1_attention,Q4.2_understanding,1_time_First Click,1_time_Last Click,1_time_Page Submit,1_time_Click Count,1_answer,1_solved,1_insight,1_sharing,1_consume,2_time_First Click,2_time_Last Click,2_time_Page Submit,2_time_Click Count,2_answer,2_solved,2_insight,2_sharing,2_consume,3_time_First Click,3_time_Last Click,3_time_Page Submit,3_time_Click Count,3_answer,3_solved,3_insight,3_sharing,3_consume,4_time_First Click,4_time_Last Click,4_time_Page Submit,4_time_Click Count,4_answer,4_solved,4_insight,4_sharing,4_consume,5_time_First Click,5_time_Last Click,5_time_Page Submit,5_time_Click Count,5_answer,5_solved,5_insight,5_sharing,5_consume,6_time_First Click,6_time_Last Click,6_time_Page Submit,6_time_Click Count,6_answer,6_solved,6_insight,6_sharing,6_consume,implicit_motivation,time_First Click,time_Last Click,time_Page Submit,time_Click Count,answer_supp,solved_supp,Q8.1,PROLIFIC_PID,Q_TotalDuration,condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:  You will be asked to try to solve a few brain teasers.  The survey will take about 5 minutes to complete.  There are no risks involved in this study.  You will be paid for your participation at the posted rate (provided that you complete the whole study).  Your individual privacy will be maintained in all published and written data resulting from the study.   Participation in this research study is voluntary. You may choose not to participate.  By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.",High Insight Problems,Modified Insight Problems,"Imagine you are playing video games with a friend and at some point your friend says:     “I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”      Do you agree with your friend?","Do you understand this feeling of ""Aha!"" ?","Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - Timing - First Click","Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - Timing - Last Click","Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - Timing - Page Submit","Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - Timing - Click Count","A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - Please write your answer below, even if you are not certain. If you do not find an answer,  “I do not know.” Once you’ve written your answer, you can click on the arrow to see the answer.","A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - Having seen the answer, which of these applies:","A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - To what extent did you experience a feeling of “Aha!”, as explained earlier, when you either found, or were given the correct answer?","A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - How likely would you be to share this brain teaser with other people ?","A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. He is not a bigamist and is not a Mormon and yet he broke no law. How is that possible? - To what extent are you interested in seeing one more brain teaser similar to the one you just saw?","Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Timing - First Click","Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Timing - Last Click","Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Timing - Page Submit","Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Timing - Click Count","Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Please write your answer below, even if you are not certain. If you do not find an answer,  “I do not know.” Once you’ve written your answer, you can click on the arrow to see the answer.","Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - Having seen the answer, which of these applies:","Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - To what extent did you experience a feeling of “Aha!”, as explained earlier, when you either found, or were given the correct answer?","Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - How likely would you be to share this brain teaser with other people ?","Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her – without making contact with any other object on its way. She won the bet. Explain how in a few sensible words. - To what extent are you interested in seeing one more brain teaser similar to the one you just saw?","Timing - While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Timing - First Click","Timing - While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Timing - Last Click","Timing - While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Timing - Page Submit","Timing - While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Timing - Click Count","While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Please write your answer below, even if you are not certain. If you do not find an answer,  “I do not know.” Once you’ve written your answer, you can click on the arrow to see the answer.","While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - Having seen the answer, which of these applies:","While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - To what extent did you experience a feeling of “Aha!”, as explained earlier, when you either found, or were given the correct answer?","While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - How likely would you be to share this brain teaser with other people ?","While walking on the newly paved black asphalt road to her home, Jen accidentally  dropped her small black leather clutch. The lights on the new road had not been turned on yet, the moon was not out, and Jen did not have on her a flashlight, matches, mobile phone, or any other means of lighting. Explain briefly how Jen nonetheless saw her clutch immediately. - To what extent are you interested in seeing one more brain teaser similar to the one you just saw?","Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - Timing - First Click","Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - Timing - Last Click","Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - Timing - Page Submit","Timing - A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - Timing - Click Count","A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - Please write your answer below, even if you are not certain. If you do not find an answer, write “I do not know.”  Once you’ve written your answer, you can click on the arrow to see the correct answer.","A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - Having seen the answer, which of these applies:","A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - To what extent did you experience a feeling of “Aha!”, as explained earlier, when you either found, or were given the correct answer?","A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - How likely would you be to share this brain teaser with other people ?","A man  in town married 20 women in the town. He and the women are still alive, and  he has had no divorces. How is that possible? - To what extent are you interested in seeing one more brain teaser similar to the one you just saw?","Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - Timing - First Click","Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - Timing - Last Click","Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - Timing - Page Submit","Timing - Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - Timing - Click Count","Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - Please write your answer below, even if you are not certain. If you do not find an answer, write “I do not know.”  Once you’ve written your answer, you can click on the arrow to see the correct answer.","Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - Having seen the answer, which of these applies:","Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - To what extent did you experience a feeling of “Aha!”, as explained earlier, when you either found, or were given the correct answer?","Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - How likely would you be to share this brain teaser with other people ?","Denise is a pretty good tennis player. She made a bet that she could hit a regular tennis ball, send it flying off in the air, and after a bit, it would turn around 180 degrees and fly right back to her. She won the bet. Explain how in a few sensible words. - To what extent are you interested in seeing one more brain teaser similar to the one you just saw?","Timing - While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - Timing - First Click","Timing - While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - Timing - Last Click","Timing - While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - Timing - Page Submit","Timing - While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - Timing - Click Count","While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - Please write your answer below, even if you are not certain. If you do not find an answer, write “I do not know.”  Once you’ve written your answer, you can click on the arrow to see the correct answer.","While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - Having seen the answer, which of these applies:","While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - To what extent did you experience a feeling of “Aha!”, as explained earlier, when you either found, or were given the correct answer?","While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - How likely would you be to share this brain teaser with other people ?","While walking on the newly paved black asphalt road to her home during the night, Jen accidentally dropped her small black leather clutch. Explain briefly how Jen saw her clutch immediately. - To what extent are you interested in seeing one more brain teaser similar to the one you just saw?",Do you want to see another brain teaser?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please write your answer below, even if you are not certain. If you do not find an answer, write “I do not know.”  Once you’ve written your answer, you can click on the arrow to see the correct answer.","Having seen the answer, which of these applies:","Do you have any further comments for us?   If you have experienced any problems during the survey, please let us know.",PROLIFIC_PID,Q_TotalDuration,condition
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID73""}","{""ImportId"":""1_QID84_FIRST_CLICK""}","{""ImportId"":""1_QID84_LAST_CLICK""}","{""ImportId"":""1_QID84_PAGE_SUBMIT""}","{""ImportId"":""1_QID84_CLICK_COUNT""}","{""ImportId"":""1_QID55_TEXT""}","{""ImportId"":""1_QID58""}","{""ImportId"":""1_QID61""}","{""ImportId"":""1_QID62""}","{""ImportId"":""1_QID96""}","{""ImportId"":""2_QID84_FIRST_CLICK""}","{""ImportId"":""2_QID84_LAST_CLICK""}","{""ImportId"":""2_QID84_PAGE_SUBMIT""}","{""ImportId"":""2_QID84_CLICK_COUNT""}","{""ImportId"":""2_QID55_TEXT""}","{""ImportId"":""2_QID58""}","{""ImportId"":""2_QID61""}","{""ImportId"":""2_QID62""}","{""ImportId"":""2_QID96""}","{""ImportId"":""3_QID84_FIRST_CLICK""}","{""ImportId"":""3_QID84_LAST_CLICK""}","{""ImportId"":""3_QID84_PAGE_SUBMIT""}","{""ImportId"":""3_QID84_CLICK_COUNT""}","{""ImportId"":""3_QID55_TEXT""}","{""ImportId"":""3_QID58""}","{""ImportId"":""3_QID61""}","{""ImportId"":""3_QID62""}","{""ImportId"":""3_QID96""}","{""ImportId"":""4_QID85_FIRST_CLICK""}","{""ImportId"":""4_QID85_LAST_CLICK""}","{""ImportId"":""4_QID85_PAGE_SUBMIT""}","{""ImportId"":""4_QID85_CLICK_COUNT""}","{""ImportId"":""4_QID75_TEXT""}","{""ImportId"":""4_QID77""}","{""ImportId"":""4_QID78""}","{""ImportId"":""4_QID79""}","{""ImportId"":""4_QID98""}","{""ImportId"":""5_QID85_FIRST_CLICK""}","{""ImportId"":""5_QID85_LAST_CLICK""}","{""ImportId"":""5_QID85_PAGE_SUBMIT""}","{""ImportId"":""5_QID85_CLICK_COUNT""}","{""ImportId"":""5_QID75_TEXT""}","{""ImportId"":""5_QID77""}","{""ImportId"":""5_QID78""}","{""ImportId"":""5_QID79""}","{""ImportId"":""5_QID98""}","{""ImportId"":""6_QID85_FIRST_CLICK""}","{""ImportId"":""6_QID85_LAST_CLICK""}","{""ImportId"":""6_QID85_PAGE_SUBMIT""}","{""ImportId"":""6_QID85_CLICK_COUNT""}","{""ImportId"":""6_QID75_TEXT""}","{""ImportId"":""6_QID77""}","{""ImportId"":""6_QID78""}","{""ImportId"":""6_QID79""}","{""ImportId"":""6_QID98""}","{""ImportId"":""QID83""}","{""ImportId"":""QID95_FIRST_CLICK""}","{""ImportId"":""QID95_LAST_CLICK""}","{""ImportId"":""QID95_PAGE_SUBMIT""}","{""ImportId"":""QID95_CLICK_COUNT""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""QID89""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""condition""}"
2023-05-11 11:14:57,2023-05-11 11:16:07,0,99.71.166.164,100,69,1,2023-05-11 11:16:07,R_1dgDXEAnA4X4M5g,,,,,33.9482,-83.9944,anonymous,EN,1,,,I pay attention,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e9fc65dee2ccf178f0e413f,69,
2023-05-11 11:13:15,2023-05-11 11:16:16,0,70.172.187.42,100,180,1,2023-05-11 11:16:17,R_21apG93OSCv8ekL,,,,,41.519,-71.162,anonymous,EN,1,,,I pay attention,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.609,7.609,30.135,1,He is a pastor and he held the services and married the couples.,2,1,1,1,2.649,2.649,23.89,1,The ball hit a net.,2,1,1,1,15.026,15.026,39.403,1,She felt it fall and looked down at it.,2,1,1,1,2,,,,,,,,58a43e029a17120001d910d5,180,0
2023-05-11 11:14:38,2023-05-11 11:17:15,0,72.184.105.231,100,156,1,2023-05-11 11:17:15,R_DuFzmbAJyqUhhXX,,,,,27.8676,-82.7352,anonymous,EN,1,,,I pay attention,1,4.667,14.03,23.069,11,His wife has multiple personality disorder,2,5,5,5,1.701,13.598,24.518,5,"Balls spin so she simply hit it up and it came back ",1,4,5,5,2.805,16.409,16.627,17,It was still in her lap,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.902,12.257,16.176,12,I do not know.,2,,5fb33154a2f41ea504c25dcf,156,1
2023-05-11 11:16:02,2023-05-11 11:18:09,0,71.178.191.153,100,126,1,2023-05-11 11:18:10,R_2WvxMiSBh9ryvej,,,,,39.0013,-76.888,anonymous,EN,1,,,I pay attention,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.302,1.302,16.425,1,It is a town that allows polygamy,1,4,1,5,4.689,4.689,18.439,1,She hit the ball against the wall,1,4,1,6,1.433,1.433,21.431,1,The black leather clutch has embellishments that are not black,2,2,1,5,2,,,,,,,,641265f9d91ee53dac833f40,126,0
2023-05-11 11:15:39,2023-05-11 11:18:13,0,100.6.51.119,100,153,1,2023-05-11 11:18:13,R_OxSY7NSTartaM2B,,,,,40.4064,-79.9856,anonymous,EN,1,,,"I pay attention ",1,10.996,10.996,16.7,1,He is the priest,1,2,2,4,11.626,11.626,17.041,1,Hit it straight up,1,3,3,4,21.856,21.856,26.501,1,I don’t know,2,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,6005a135fff7b6818a99fd87,153,1
2023-05-11 11:14:10,2023-05-11 11:18:33,0,71.225.79.105,100,262,1,2023-05-11 11:18:34,R_33BDiIJWRDMaIGm,,,,,39.7927,-75.6196,anonymous,EN,1,,,I pay attention,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.247,48.18,52.817,22,I do not know,2,3,2,2,32.99,32.99,61.719,1,she hit ball against wall and it bounced back,1,1,1,3,15.768,15.768,28.689,1,reflected off moonlight,1,1,1,2,2,,,,,,,,60bd28cc95ab27d4f4f6ada3,262,0
2023-05-11 11:15:38,2023-05-11 11:18:34,0,76.166.180.17,100,176,1,2023-05-11 11:18:35,R_2vkzP7Jx9WDX4c2,,,,,33.7518,-117.9932,anonymous,EN,1,,,I pay attention,1,8.125,9.678,35.82,4,He has separate ID's,3,1,1,1,10.024,13.404,30.93,2,Gravity takes the ball back to her,1,1,1,1,7.889,21.501,43.388,2,The purse was a different shade of black,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5f4fe72e9468441227166179,176,1
2023-05-11 11:13:45,2023-05-11 11:18:35,0,99.8.109.220,100,290,1,2023-05-11 11:18:37,R_2WJdBgYK5vszi1F,,,,,38.8113,-121.2643,anonymous,EN,1,,,I pay attention,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.312,21.665,31.194,2,He performed the ceremonies,2,1,1,1,44.052,45.361,56.54,2,She hit it straight upwards,2,1,1,1,45.144,45.144,50.557,1,I do not know.,2,1,1,1,2,,,,,,,,5f5e32a0d6a12c6857b8e127,290,0
